module,type,name,res_id,src,value
account,model,"email.template,body_html",account.email_template_edi_invoice,"
<div style=""font-family: 'Lucica Grande', Ubuntu, Arial, Verdana, sans-serif; font-size: 12px; color: rgb(34, 34, 34); background-color: #FFF; "">

    <p>Hello ${object.partner_id.name},</p>

    <p>A new invoice is available for you: </p>
    
    <p style=""border-left: 1px solid #8e0000; margin-left: 30px;"">
       &nbsp;&nbsp;<strong>REFERENCES</strong><br />
       &nbsp;&nbsp;Invoice number: <strong>${object.number}</strong><br />
       &nbsp;&nbsp;Invoice total: <strong>${object.amount_total} ${object.currency_id.name}</strong><br />
       &nbsp;&nbsp;Invoice date: ${object.date_invoice}<br />
       % if object.origin:
       &nbsp;&nbsp;Order reference: ${object.origin}<br />
       % endif
       % if object.user_id:
       &nbsp;&nbsp;Your contact: <a href=""mailto:${object.user_id.email or ''}?subject=Invoice%20${object.number}"">${object.user_id.name}</a>
       % endif
    </p>  
    
    % if object.paypal_url:
    <br/>
    <p>It is also possible to directly pay with Paypal:</p>
        <a style=""margin-left: 120px;"" href=""${object.paypal_url}"">
            <img class=""oe_edi_paypal_button"" src=""https://www.paypal.com/en_US/i/btn/btn_paynowCC_LG.gif""/>
        </a>
    % endif
    
    <br/>
    <p>If you have any question, do not hesitate to contact us.</p>
    <p>Thank you for choosing ${object.company_id.name or 'us'}!</p>
    <br/>
    <br/>
    <div style=""width: 375px; margin: 0px; padding: 0px; background-color: #8E0000; border-top-left-radius: 5px 5px; border-top-right-radius: 5px 5px; background-repeat: repeat no-repeat;"">
        <h3 style=""margin: 0px; padding: 2px 14px; font-size: 12px; color: #DDD;"">
            <strong style=""text-transform:uppercase;"">${object.company_id.name}</strong></h3>
    </div>
    <div style=""width: 347px; margin: 0px; padding: 5px 14px; line-height: 16px; background-color: #F2F2F2;"">
        <span style=""color: #222; margin-bottom: 5px; display: block; "">
        % if object.company_id.street:
            ${object.company_id.street}<br/>
        % endif
        % if object.company_id.street2:
            ${object.company_id.street2}<br/>
        % endif
        % if object.company_id.city or object.company_id.zip:
            ${object.company_id.zip} ${object.company_id.city}<br/>
        % endif
        % if object.company_id.country_id:
            ${object.company_id.state_id and ('%s, ' % object.company_id.state_id.name) or ''} ${object.company_id.country_id.name or ''}<br/>
        % endif
        </span>
        % if object.company_id.phone:
            <div style=""margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; "">
                Phone:&nbsp; ${object.company_id.phone}
            </div>
        % endif
        % if object.company_id.website:
            <div>
                Web :&nbsp;<a href=""${object.company_id.website}"">${object.company_id.website}</a>
            </div>
        %endif
        <p></p>
    </div>
</div>
            ","
<div style=""font-family: 'Lucica Grande', Ubuntu, Arial, Verdana, sans-serif; font-size: 12px; color: rgb(34, 34, 34); background-color: #FFF; "">

    <p>Hello ${object.partner_id.name},</p>

    <p>A new invoice is available for you: </p>
    
    <p style=""border-left: 1px solid #8e0000; margin-left: 30px;"">
       &nbsp;&nbsp;<strong>REFERENCES</strong><br />
       &nbsp;&nbsp;Invoice number: <strong>${object.number}</strong><br />
       &nbsp;&nbsp;Invoice total: <strong>${object.amount_total} ${object.currency_id.name}</strong><br />
       &nbsp;&nbsp;Invoice date: ${object.date_invoice}<br />
       % if object.origin:
       &nbsp;&nbsp;Order reference: ${object.origin}<br />
       % endif
       % if object.user_id:
       &nbsp;&nbsp;Your contact: <a href=""mailto:${object.user_id.email or ''}?subject=Invoice%20${object.number}"">${object.user_id.name}</a>
       % endif
    </p>  
    
    % if object.paypal_url:
    <br/>
    <p>It is also possible to directly pay with Paypal:</p>
        <a style=""margin-left: 120px;"" href=""${object.paypal_url}"">
            <img class=""oe_edi_paypal_button"" src=""https://www.paypal.com/en_US/i/btn/btn_paynowCC_LG.gif""/>
        </a>
    % endif
    
    <br/>
    <p>If you have any question, do not hesitate to contact us.</p>
    <p>Thank you for choosing ${object.company_id.name or 'us'}!</p>
    <br/>
    <br/>
    <div style=""width: 375px; margin: 0px; padding: 0px; background-color: #8E0000; border-top-left-radius: 5px 5px; border-top-right-radius: 5px 5px; background-repeat: repeat no-repeat;"">
        <h3 style=""margin: 0px; padding: 2px 14px; font-size: 12px; color: #DDD;"">
            <strong style=""text-transform:uppercase;"">${object.company_id.name}</strong></h3>
    </div>
    <div style=""width: 347px; margin: 0px; padding: 5px 14px; line-height: 16px; background-color: #F2F2F2;"">
        <span style=""color: #222; margin-bottom: 5px; display: block; "">
        % if object.company_id.street:
            ${object.company_id.street}<br/>
        % endif
        % if object.company_id.street2:
            ${object.company_id.street2}<br/>
        % endif
        % if object.company_id.city or object.company_id.zip:
            ${object.company_id.zip} ${object.company_id.city}<br/>
        % endif
        % if object.company_id.country_id:
            ${object.company_id.state_id and ('%s, ' % object.company_id.state_id.name) or ''} ${object.company_id.country_id.name or ''}<br/>
        % endif
        </span>
        % if object.company_id.phone:
            <div style=""margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; "">
                Phone:&nbsp; ${object.company_id.phone}
            </div>
        % endif
        % if object.company_id.website:
            <div>
                Web :&nbsp;<a href=""${object.company_id.website}"">${object.company_id.website}</a>
            </div>
        %endif
        <p></p>
    </div>
</div>
            "
account,help,"account.invoice,state",0," * The 'Draft' status is used when a user is encoding a new and unconfirmed Invoice.             
* The 'Pro-forma' when invoice is in Pro-forma status,invoice does not have an invoice number.             
* The 'Open' status is used when user create invoice,a invoice number is generated.Its in open status till user does not pay invoice.             
* The 'Paid' status is set automatically when the invoice is paid. Its related journal entries may or may not be reconciled.             
* The 'Cancelled' status is used when user cancel invoice."," * The 'Draft' status is used when a user is encoding a new and unconfirmed Invoice.             
* The 'Pro-forma' when invoice is in Pro-forma status,invoice does not have an invoice number.             
* The 'Open' status is used when user create invoice,a invoice number is generated.Its in open status till user does not pay invoice.             
* The 'Paid' status is set automatically when the invoice is paid. Its related journal entries may or may not be reconciled.             
* The 'Cancelled' status is used when user cancel invoice."
account,field,"account.chart.template,code_digits",0,# of Digits,Số chữ số
account,field,"account.config.settings,code_digits",0,# of Digits,Số chữ số
account,field,"wizard.multi.charts.accounts,code_digits",0,# of Digits,Số chữ số
account,view,account.entries.report,0,# of Entries ,Số bút toán 
account,field,"account.entries.report,nbr",0,# of Items,# of Items
account,view,account.invoice.report,0,# of Lines,Số dòng
account,field,"account.invoice.report,nbr",0,# of Lines,Số dòng
account,view,account.entries.report,0,# of Products Qty ,# of Products Qty 
